,index,ML-MSE,ML-Corr,ML-R2,T-MSE,T-Corr,T-R2
0,"['INFLATION', 'OUTPUT_GAP', 'DTB3']",0.029862470695365868,0.9932500230948216,0.9716150821704994,12.758031036747864,0.5327724680682141,-11.12678168322165
1,"['INFLATION', 'OUTPUT_GAP', 'PCEND']",4.219073662810815,0.17395370034115007,-3.0103198578970662,12.758031036747864,0.5327724680682141,-11.12678168322165
2,"['INFLATION', 'OUTPUT_GAP', 'PCEDG']",7.526623348461067,-0.01396857345374848,-6.154216657392029,12.758031036747864,0.5327724680682141,-11.12678168322165
3,"['INFLATION', 'OUTPUT_GAP', 'T10Y3M']",12.846287439236288,0.7537964542147164,-11.210671283587168,12.758031036747864,0.5327724680682141,-11.12678168322165
4,"['INFLATION', 'OUTPUT_GAP', 'UMCSENT']",6.223342741282533,0.6267137578417409,-4.915420533624378,12.758031036747864,0.5327724680682141,-11.12678168322165
5,"['INFLATION', 'OUTPUT_GAP', 'UNRATE']",10.293450220606289,0.6737645550289557,-8.784144844361624,12.758031036747864,0.5327724680682141,-11.12678168322165
6,"['INFLATION', 'OUTPUT_GAP', 'TEDRATE']",6.443833428545632,0.5803581919723024,-5.125001653149909,12.758031036747864,0.5327724680682141,-11.12678168322165
7,"['INFLATION', 'OUTPUT_GAP', 'BAAFF']",8.733666699272813,0.7607288401222746,-7.301537208291833,12.758031036747864,0.5327724680682141,-11.12678168322165
8,"['INFLATION', 'OUTPUT_GAP', 'WM2NS']",23.25039270385092,-0.16717908272655252,-21.099996116692456,12.758031036747864,0.5327724680682141,-11.12678168322165
9,"['INFLATION', 'OUTPUT_GAP', 'CFNAI']",7.677763440859517,0.46959394830356943,-6.2978785515212,12.758031036747864,0.5327724680682141,-11.12678168322165
10,"['INFLATION', 'OUTPUT_GAP', 'TCU']",4.662529168713753,0.5869699104772187,-3.4318338117993425,12.758031036747864,0.5327724680682141,-11.12678168322165
11,"['INFLATION', 'OUTPUT_GAP', 'AHETPI']",5.322066371907451,0.0541168335041226,-4.058738045850441,12.758031036747864,0.5327724680682141,-11.12678168322165
12,"['INFLATION', 'OUTPUT_GAP', 'PCE']",5.039816216816069,0.03878033587705469,-3.7904532297224867,12.758031036747864,0.5327724680682141,-11.12678168322165
13,"['INFLATION', 'OUTPUT_GAP', 'AWHNONAG']",4.802120863221326,0.4221207444301156,-3.5645187064518495,12.758031036747864,0.5327724680682141,-11.12678168322165
14,"['INFLATION', 'OUTPUT_GAP', 'PPIACO']",1.9187217266088579,0.42632222828119987,-0.8237860859892465,12.758031036747864,0.5327724680682141,-11.12678168322165
15,"['INFLATION', 'OUTPUT_GAP', 'DFF']",0.021672887147987673,0.990095244700688,0.9793994566926729,12.758031036747864,0.5327724680682141,-11.12678168322165
16,"['INFLATION', 'OUTPUT_GAP', 'MICH']",6.268406880837854,0.5686429906896527,-4.958254963212732,12.758031036747864,0.5327724680682141,-11.12678168322165
17,"['INFLATION', 'OUTPUT_GAP', 'VIXCLS']",6.249483589466439,0.5891443822459319,-4.94026796956707,12.758031036747864,0.5327724680682141,-11.12678168322165
18,"['INFLATION', 'OUTPUT_GAP', 'WILL5000INDFC']",55.0270443010503,-0.21284651530840018,-51.30438388100238,12.758031036747864,0.5327724680682141,-11.12678168322165
19,"['INFLATION', 'OUTPUT_GAP', 'USEPUINDXD']",6.030186636670879,0.5890400273798154,-4.731821520213909,12.758031036747864,0.5327724680682141,-11.12678168322165
20,"['INFLATION', 'OUTPUT_GAP', 'DGS3']",0.6389287540071187,0.8466702287714721,0.39268453818151006,12.758031036747864,0.5327724680682141,-11.12678168322165
21,"['INFLATION', 'OUTPUT_GAP', 'DEXCHUS']",7.459596941929234,0.49631467045253447,-6.090506622772956,12.758031036747864,0.5327724680682141,-11.12678168322165
22,"['INFLATION', 'OUTPUT_GAP', 'DEXJPUS']",5.225828559510232,0.6391561498124649,-3.9672619444637647,12.758031036747864,0.5327724680682141,-11.12678168322165
23,"['INFLATION', 'OUTPUT_GAP', 'GDP']",5.203363676645461,0.03192395450746468,-3.9459085922689363,12.758031036747864,0.5327724680682141,-11.12678168322165
24,"['INFLATION', 'OUTPUT_GAP', 'PCEND_chg12']",5.751485683614566,0.6118002363947613,-4.46691029661798,12.758031036747864,0.5327724680682141,-11.12678168322165
25,"['INFLATION', 'OUTPUT_GAP', 'PCEDG_chg12']",7.63055657773327,0.49776603340916764,-6.2530074172973675,12.758031036747864,0.5327724680682141,-11.12678168322165
26,"['INFLATION', 'OUTPUT_GAP', 'UNRATE_chg12']",8.788877994622691,0.4765346339117227,-7.354016726740044,12.758031036747864,0.5327724680682141,-11.12678168322165
27,"['INFLATION', 'OUTPUT_GAP', 'PCE_chg12']",7.63603057972843,0.453029569832551,-6.258210573406458,12.758031036747864,0.5327724680682141,-11.12678168322165
28,"['INFLATION', 'OUTPUT_GAP', 'WM2NS_chg12']",5.4735882411383345,0.6401961485788221,-4.2027628270336805,12.758031036747864,0.5327724680682141,-11.12678168322165
29,"['INFLATION', 'OUTPUT_GAP', 'GDP_chg12']",8.421106693458402,0.46922969733654746,-7.004442230038508,12.758031036747864,0.5327724680682141,-11.12678168322165
30,"['INFLATION', 'OUTPUT_GAP', 'USEPUINDXD_chg12']",6.129489399320181,0.5806592165410096,-4.826210922443787,12.758031036747864,0.5327724680682141,-11.12678168322165
31,"['INFLATION', 'OUTPUT_GAP', 'WILL5000INDFC_chg12']",6.806288153652473,0.4722081763348895,-5.46952263046705,12.758031036747864,0.5327724680682141,-11.12678168322165
32,"['INFLATION', 'OUTPUT_GAP', 'DTB3_chg']",6.031168338470736,0.5789745563150827,-4.732754648795475,12.758031036747864,0.5327724680682141,-11.12678168322165
33,"['INFLATION', 'OUTPUT_GAP', 'UMCSENT_chg']",6.070363731426969,0.5837815060175994,-4.770010709076191,12.758031036747864,0.5327724680682141,-11.12678168322165
34,"['INFLATION', 'OUTPUT_GAP', 'TEDRATE_chg']",6.060691810269822,0.5851215052061032,-4.760817340915208,12.758031036747864,0.5327724680682141,-11.12678168322165
35,"['INFLATION', 'OUTPUT_GAP', 'BAAFF_chg']",6.088270528023477,0.5799310407371085,-4.787031502672493,12.758031036747864,0.5327724680682141,-11.12678168322165
36,"['INFLATION', 'OUTPUT_GAP', 'TCU_chg']",6.229067332069592,0.5652823637550691,-4.92086187974593,12.758031036747864,0.5327724680682141,-11.12678168322165
37,"['INFLATION', 'OUTPUT_GAP', 'AHETPI_chg']",7.5436797188503775,0.49374559786895356,-6.170429102668542,12.758031036747864,0.5327724680682141,-11.12678168322165
38,"['INFLATION', 'OUTPUT_GAP', 'AWHNONAG_chg']",6.088435451220019,0.580081696240822,-4.787188265702243,12.758031036747864,0.5327724680682141,-11.12678168322165
39,"['INFLATION', 'OUTPUT_GAP', 'PPIACO_chg']",6.187954654154568,0.5646629243986667,-4.8817833990578015,12.758031036747864,0.5327724680682141,-11.12678168322165
40,"['INFLATION', 'OUTPUT_GAP', 'DFF_chg']",5.962181691103878,0.5861087771521845,-4.667181363288831,12.758031036747864,0.5327724680682141,-11.12678168322165
41,"['INFLATION', 'OUTPUT_GAP', 'MICH_chg']",6.085030026240819,0.5816795196096478,-4.783951336340463,12.758031036747864,0.5327724680682141,-11.12678168322165
42,"['INFLATION', 'OUTPUT_GAP', 'VIXCLS_chg']",6.054801990624143,0.5818088441835445,-4.755218941225557,12.758031036747864,0.5327724680682141,-11.12678168322165
43,"['INFLATION', 'OUTPUT_GAP', 'WILL5000INDFC_chg']",6.130901800042103,0.5797493407548073,-4.827553439573166,12.758031036747864,0.5327724680682141,-11.12678168322165
44,"['INFLATION', 'OUTPUT_GAP', 'DGS3_chg']",6.188058713295824,0.5760380323458538,-4.881882309499743,12.758031036747864,0.5327724680682141,-11.12678168322165
45,"['INFLATION', 'OUTPUT_GAP', 'DEXCHUS_chg']",6.022055086801928,0.5794998824909743,-4.7240923079457335,12.758031036747864,0.5327724680682141,-11.12678168322165
46,"['INFLATION', 'OUTPUT_GAP', 'DEXJPUS_chg']",6.264309773660081,0.5702394489997833,-4.954360575110485,12.758031036747864,0.5327724680682141,-11.12678168322165
47,"['INFLATION', 'DTB3', 'PCEND']",0.11780769283269397,0.9927685822597119,0.8880212653918824,12.758031036747864,0.5327724680682141,-11.12678168322165
